talhao;area;areaplantio;dataplantio;matgen;espacamento;parcela;areaparc;datamedicao;fila;cova;fuste;cat;dap;ht;idade
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;1;1;1;Dominante;17,6;26,6;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;1;2;1;Dominante;17,44;26,2;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;1;3;2;Bifurcada;6,78;13,9;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;1;3;1;Bifurcada;16,07;25,2;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;1;4;1;Normal;11,43;22,1;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;1;5;1;Normal;15,69;25,6;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;2;1;1;Normal;15,57;25,8;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;2;2;1;Dominante;16,9;26,5;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;2;3;1;Normal;16,39;26,8;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;2;4;1;Normal;16,68;26,7;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;2;5;1;Normal;15,02;26;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;2;6;1;Normal;16,46;26,8;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;2;7;1;Normal;11,33;23,5;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;3;1;1;Normal;16,23;26,8;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;3;2;1;Normal;15,15;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;3;3;1;Normal;16,49;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;3;4;1;Normal;15,37;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;3;5;1;Normal;16,14;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;3;6;1;Normal;16,01;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;3;7;1;Normal;16,62;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;4;1;1;Normal;15,92;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;4;2;1;Normal;15,82;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;4;3;1;Normal;15,28;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;4;4;1;Normal;14,16;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;4;5;1;Normal;15,22;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;4;6;1;Normal;13,46;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;4;7;1;Dominante;16,74;26,9;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;4;8;1;Normal;14,67;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;5;1;1;Normal;16,14;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;5;2;1;Normal;16,17;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;5;3;1;Normal;16,65;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;5;4;1;Dano por vento;17,13;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;5;5;1;Normal;14,32;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;5;6;1;Normal;15,85;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;5;7;1;Normal;16,14;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;5;8;1;Normal;15,15;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;6;1;1;Normal;16,07;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;6;2;1;Normal;12,92;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;6;3;1;Normal;16,14;NA;9,37
01;50,07;50,07;08/06/2009;AEC 0144;3,60X2,50;109;400;23/10/2018;6;4;1;Dano por vento;14,29;NA;9,37
