m_parcela;m_plantio;matgen;espacamento;medicao;idade;dapmin;dapmed;dapmax;s2dap;dg;g;htmin;htmed;htmax;s2ht;ddom;hdom;vtcc
292;87;1;5,00 X 3,00;2;3,285420945;10,50422624;13,04127393;14,64225476;1,117012647;13,08244883;7,808296071;15,11289459;15,72593861;16,8;0,321243252;14,38760686;16,58;59,16755854
293;87;1;5,00 X 3,00;2;3,285420945;8,594366927;12,89037146;15,27887454;2,810843039;12,99493802;7,509345199;13,8;15,1584867;15,40678216;0,125748858;14,99876184;14,94;54,48846064
294;87;1;5,00 X 3,00;2;3,285420945;11,71380381;14,09582279;16,96591693;3,321477268;14,19366471;1,952608885;14,3;14,6;15,2;0,12;14,57222659;14,62;13,48320316
295;87;1;5,00 X 3,00;2;3,285420945;8,594366927;13,42544288;14,70591674;1,800326109;13,48929241;6,902892708;15;15,52135618;16,8;0,128047792;14,65498716;15,7;50,90347533
299;89;1;5,00 X 3,00;2;3,285420945;4,774648293;13,62896829;15,59718442;5,368491269;13,81804322;9,867259147;10,55908619;16,62555336;18;2,0337836;15,43802948;17,64;80,40705964
300;89;1;5,00 X 3,00;2;3,285420945;10,59971921;14,08276393;17,18873385;2,527774919;14,16879644;9,206116282;15,5059126;16,87955482;18;0,428837568;16,32133941;17,725;74,90438946
301;89;1;5,00 X 3,00;2;3,285420945;12,41408556;14,08584908;15,75633937;0,99506859;14,11971707;8,420560814;14,8;16,29487355;16,82906559;0,237832208;15,42529708;15,76;65,40840403
302;89;1;5,00 X 3,00;2;3,285420945;11,49098689;13,31065841;14,64225476;0,887509515;13,34284651;8,777505011;15,88935501;16,59504387;17,7;0,181444029;14,41307165;16,96;71,62625759
303;90;1;5,00 X 3,00;2;3,285420945;12,25493062;13,83132244;15,75633937;1,510052322;13,8832138;7,184158818;15,4;15,74785573;16,20416689;0,061956846;15,57331118;15,925;54,16869753
304;90;1;5,00 X 3,00;2;3,285420945;11,14084602;14,79686242;16,39295914;1,405961693;14,84203991;7,912838812;15,00685052;16,51586167;17,3;0,252152478;15,96005769;16,88;61,75319484
305;90;1;5,00 X 3,00;2;3,285420945;9,390141642;14,02579462;15,97915629;1,546823926;14,07899776;10,12993338;15,42008979;16,68965148;18;0,627835553;15,3934661;17,62;80,89341319
306;91;1;5,00 X 3,00;2;3,288158795;11,14084602;13,60151983;14,96056465;0,621691565;13,62336241;7,153815175;14,1;15,14437069;15,7;0,13210592;14,50219841;15,5;50,93997921
307;91;1;5,00 X 3,00;2;3,288158795;12,09577567;13,90846671;15,59718442;0,98635876;13,94201891;6,044146995;14,83280002;15,22767864;15,6;0,04914863;15,07515621;15,34808436;43,39671792
308;91;1;5,00 X 3,00;2;3,288158795;7,8304232;13,17537671;14,96056465;2,002275457;13,24799602;7,517950743;13,20422179;15,03353664;16;0,23878337;14,5467618;15,375;53,64676772
309;91;1;5,00 X 3,00;2;3,288158795;11,93662073;14,26483019;16,01098728;0,93664197;14,2960631;7,303054053;14,79063328;15,39756729;15,9;0,105475389;15,18338157;15,45930489;52,91313008
318;94;1;5,00 X 3,00;2;3,249828884;10,24957834;12,93247595;14,96056465;1,171862583;12,97609126;8,104459246;14,60770685;15,36606173;16,1;0,147825942;14,24118431;15,58;59,62018309
319;94;1;5,00 X 3,00;2;3,249828884;6,525352667;12,33328382;15,46986047;3,677734501;12,47582354;6,841339873;12,77744473;15,14558936;15,9;0,353896481;14,40033925;15,72;50,26629307
320;94;1;5,00 X 3,00;2;3,249828884;8,116902098;14,28541263;16,2338042;5,677316255;14,47244016;6,421667498;15,12422997;15,67430269;16,1;0,06971406;15,91549431;15,84;47,48558024
321;94;1;5,00 X 3,00;2;3,249828884;9,549296586;12,1185121;14,32394488;1,862095187;12,19146256;5,453698171;14,35859306;15,11287182;16;0,206017378;13,92605752;15,85;40,19541365
326;96;1;5,00 X 3,00;2;3,238877481;7,161972439;12,48754169;14,00563499;2,264631334;12,57442752;7,265011504;10,60687529;14,83928198;15,7;1,114314565;13,78281807;15,3;52,32676451
