dap;ht;vol
20,1;24,6;0,36396
19,2;22,4;0,31432
16,1;23,3;0,23148
16,6;23,9;0,25083
21,2;24,5;0,40438
12,3;22,1;0,13419
9,8;19,4;0,0696
22,4;25,4;0,46841
14,1;22,6;0,17478
16,1;24,9;0,24839
19,6;24,9;0,3352
17,2;24,5;0,2585
18,1;25,6;0,34418
23,2;26,8;0,51185
21,2;27,1;0,41608
18,7;24,9;0,29614
16,9;25;0,26832
15,2;24,5;0,18478
20,1;27,8;0,41809
8,3;15,6;0,03914
22;29,9;0,49449
17,5;27,5;0,32376
18,3;27,8;0,32437
19,5;27,6;0,34014
10,7;20,3;0,07773
14,4;23,9;0,18231
6,6;13,5;0,02114
10,6;19,1;0,07896
17,8;23,4;0,26899
16,1;22,9;0,23514
20,7;24,1;0,34923
18,7;24;0,31607
13,4;23,2;0,16328
21,3;24,2;0,34815
11,7;21,7;0,11684
16;24,1;0,20473
19,9;25;0,35738
22,5;25,4;0,45341
18,7;26,3;0,35149
17,8;25,2;0,29213
14,9;24,6;0,20952
18,6;24,8;0,30868
15,5;23;0,20691
18,7;24;0,28032
15,3;24,4;0,21765
13,3;22,2;0,12736
10,7;19,2;0,07122
21,4;27,2;0,41269
22,7;25,4;0,44737
20,2;25,3;0,36064
