"plantio";"area";"dataplantio";"matgen";"espacamento";"parcela";"areaparc";"datamedicao";"idade";"fila";"cova";"fuste";"cat";"dap";"ht";"decliv_perc";"ffcc"
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;1;1;1;"Normal";12,16;16,9862102530523;6,54;0,433943146103425
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;1;2;1;"Normal";11,52;16,6154198227497;6,54;0,435843873445794
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;1;3;1;"Normal";12;16,896017986222;6,54;0,434440341562298
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;1;4;1;"Normal";11,87;16,8258684453539;6,54;0,434826088416807
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;1;5;1;"Normal";11,33;16,4951634669759;6,54;0,436394218740486
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;2;6;1;"Normal";12,45;17,1365306977696;6,54;0,433101021869284
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;2;7;1;"Normal";11,14;16,3749071112021;6,54;0,437015584161671
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;2;8;1;"Dominante";13,31;17,3369579573926;6,54;0,429564559379712
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;2;9;1;"Normal";12,45;17,1365306977696;6,54;0,433101021869284
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;2;10;1;"Normal";12,32;17,0764025198827;6,54;0,433508676043876
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;2;11;1;"Normal";12,03;16,9160607121843;6,54;0,434370094970039
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;2;12;1;"Normal";12,48;17,1565734237319;6,54;0,433000800309163
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;2;13;1;"Normal";11,94;16,8659538972785;6,54;0,434611537110679
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;14;1;"Normal";12,54;17,1866375126754;6,54;0,432838143764514
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;15;1;"Normal";12,19;17,0062529790146;6,54;0,433876049179293
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;16;1;"Torta";13,4;17,5774706689403;6,54;0,430223557847842
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;17;1;"Ponta Seca";12,89;17,3570006833549;6,54;0,431779196931073
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;18;1;"Torta";11,87;16,8258684453539;6,54;0,434826088416807
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;19;1;"Normal";12,51;17,1665947867131;6,54;0,432907200325295
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;20;1;"Dominante";12,7;18,0384533660733;6,54;0,435710517182433
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;21;1;"Normal";11,97;16,8859966232408;6,54;0,434559375665354
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;22;0;"falha";NA;NA;6,54;NA
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;23;1;"Bifurcada";11,11;16,3548643852398;6,54;0,437073052151057
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;3;23;2;"Bifurcada";9,23;15,0019803827843;6,54;0,443169701755647
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;24;1;"Normal";11,65;18,0384533660733;6,54;0,441072624374231
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;25;1;"Normal";12,25;16,435035289089;6,54;0,430962115689353
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;26;1;"Normal";12,41;16,7356761785235;6,54;0,431486593047564
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;27;1;"Torta";11,36;16,5152061929382;6,54;0,436319489520629
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;28;1;"Torta";10,19;15,7034757914649;6,54;0,439851765440386
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;29;1;"Normal";11,71;16,7356761785235;6,54;0,435297477429132
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;30;1;"Dominante";12,61;16,3348216592775;6,54;0,428507288798824
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;31;1;"Ponta Seca";11,27;16,4550780150513;6,54;0,436572033637246
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;32;1;"Normal";10,76;15,7335398804083;6,54;0,43645922263506
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;4;33;1;"Normal";11,68;16,7156334525612;6,54;0,43537531541127
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;34;1;"Torta";12,19;17,0062529790146;6,54;0,433876049179293
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;35;1;"Torta";12,22;17,0162743419958;6,54;0,433753728161493
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;36;1;"Ponta Seca";9,84;15,4429203539549;6,54;0,440915884026736
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;37;1;"Ponta Seca";12,41;17,1164879718073;6,54;0,433213243389464
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;38;1;"Normal";12,03;16,9160607121843;6,54;0,434370094970039
2171;42,43;"2017-11-14";35;"3,45X2,40";"27";469,9;"2020-09-16";2,83915126625599;5;39;1;"Ponta Seca";9,96;15,5331126207853;6,54;0,440525827756619
